date,n_sales,total_dollar_amount,n_existing_customer,type
2018-07-15,20,NA,5,Residential
2018-07-14,18,151.53259299687264,5,Residential
2018-07-13,19,72.52352689406462,3,Residential
2018-07-12,NA,103.39916527343492,2,Residential
2018-07-11,26,13.298289674330649,4,Residential
2018-07-10,21,252.79988049357334,3,Residential
2018-07-09,28,186.3562350748911,6,Residential
2018-07-08,17,292.8992166071229,2,Residential
2018-07-07,26,NA,4,Residential
2018-07-06,27,11.774946344036714,4,Residential
2018-07-05,NA,44.30434257427113,6,Residential
2018-07-04,21,177.4848246866948,3,Residential
2018-07-03,NA,20.205369501013937,4,Residential
2018-07-02,19,34.76733901241216,NA,Residential
2018-07-01,NA,39.06863299819816,4,Residential
2018-06-30,19,46.90640978506851,7,Residential
2018-06-29,13,NA,4,Residential
2018-06-28,22,47.3218661124883,5,Residential
2018-06-27,26,715.4561484686803,5,Residential
2018-06-26,NA,127.04289256486234,5,Residential
2018-06-25,24,470.6012089834415,NA,Residential
2018-06-24,10,17.43430805987843,1,Residential
2018-06-23,14,78.47551464816071,2,Residential
2018-06-22,25,434.18227947255434,6,Residential
2018-06-21,NA,NA,3,Residential
2018-06-20,27,499.2207836212829,5,Residential
2018-06-19,24,NA,2,Residential
2018-06-18,24,189.54121382213378,6,Residential
2018-06-17,21,117.4249486654829,3,Residential
2018-06-16,15,145.85150770913734,2,Residential
2018-06-15,22,1075.5640690713026,NA,Residential
2018-06-14,17,58.313601207219634,3,Residential
2018-06-13,NA,86.41514119969736,5,Residential
2018-06-12,18,183.16281334550294,2,Residential
2018-06-11,NA,NA,6,Residential
2018-06-10,NA,786.2276775248131,NA,Residential
2018-06-09,25,16.614008808029887,5,Residential
2018-06-08,27,16.797492989889047,4,Residential
2018-06-07,12,96.12406023372992,3,Residential
2018-06-06,21,49.827007914932544,2,Residential
2018-06-05,12,32.67056087925859,4,Residential
2018-06-04,28,125.54762091708558,3,Residential
2018-06-03,19,80.4192882127477,5,Residential
2018-06-02,24,110.58907803742721,NA,Residential
2018-06-01,NA,171.47924584367456,NA,Residential
2018-05-31,24,19.0610825730134,6,Residential
2018-05-30,26,NA,4,Residential
2018-05-29,20,113.3571330663311,3,Residential
2018-05-28,26,NA,NA,Residential
2018-05-27,NA,498.64222136800163,0,Residential
2018-05-26,16,NA,NA,Residential
2018-05-25,17,77.79914895687794,5,Residential
2018-05-24,20,167.1329219106218,3,Residential
2018-05-23,23,186.7260470142358,3,Residential
2018-05-22,24,51.858701120386804,5,Residential
2018-05-21,16,75.2704417165325,NA,Residential
2018-05-20,27,99.91090710550083,4,Residential
2018-05-19,19,NA,3,Residential
2018-05-18,NA,106.67830965809904,3,Residential
2018-05-17,19,193.01045816705573,4,Residential
2018-05-16,20,72.66163020593996,3,Residential
2018-05-15,NA,184.3384072196007,4,Residential
2018-05-14,16,NA,0,Residential
2018-05-13,17,NA,NA,Residential
2018-05-12,19,NA,6,Residential
2018-05-11,21,134.60972994155787,NA,Residential
2018-05-10,21,31.285817971097018,NA,Residential
2018-05-09,19,25.107415585895264,4,Residential
2018-05-08,15,294.2092736973945,2,Residential
2018-05-07,17,105.86686478679566,2,Residential
2018-05-06,19,NA,3,Residential
2018-05-05,20,319.16828966694976,NA,Residential
2018-05-04,19,75.57307705969197,5,Residential
2018-05-03,NA,NA,3,Residential
2018-05-02,NA,137.2347614432793,4,Residential
2018-05-01,16,45.09211726731532,1,Residential
2018-04-30,22,26.220929271394738,5,Residential
2018-04-29,NA,62.25949329402706,5,Residential
2018-04-28,19,NA,6,Residential
2018-04-27,16,225.96403936118185,2,Residential
2018-04-26,15,115.759915588398,4,Residential
2018-04-25,23,NA,2,Residential
2018-04-24,19,124.42915409715324,NA,Residential
2018-04-23,NA,236.21699260426743,7,Residential
2018-04-22,20,40.31290876004213,3,Residential
2018-04-21,14,2593.215234054839,7,Residential
2018-04-20,NA,43.06931800027205,2,Residential
2018-04-19,21,31.56138050614466,3,Residential
2018-04-18,22,60.273883373363034,2,Residential
2018-04-17,8,NA,NA,Residential
2018-04-16,21,363.93468126289565,8,Residential
2018-04-15,7,41.48780635130546,0,Residential
2018-04-14,21,33.41961696763075,2,Residential
2018-04-13,NA,30.344546709483488,NA,Residential
2018-04-12,NA,NA,2,Residential
2018-04-11,15,218.1559215494376,NA,Residential
2018-04-10,17,808.245680002824,3,Residential
2018-04-09,NA,NA,4,Residential
2018-04-08,29,72.48795104709636,NA,Residential
2018-04-07,23,273.6501278421527,4,Residential
2018-07-15,20,74.10693533284528,NA,Commercial
2018-07-14,NA,438.6792482334621,4,Commercial
2018-07-13,17,94.40116503428871,3,Commercial
2018-07-12,NA,NA,4,Commercial
2018-07-11,21,112.60755245198925,4,Commercial
2018-07-10,24,459.6709249852861,NA,Commercial
2018-07-09,15,198.51913369807951,1,Commercial
2018-07-08,14,NA,1,Commercial
2018-07-07,NA,49.61446794965049,3,Commercial
2018-07-06,18,273.4531386236949,3,Commercial
2018-07-05,NA,312.0050753410426,3,Commercial
2018-07-04,24,28.906446374545197,3,Commercial
2018-07-03,18,NA,NA,Commercial
2018-07-02,14,NA,4,Commercial
2018-07-01,NA,NA,1,Commercial
2018-06-30,25,48.638640840649074,5,Commercial
2018-06-29,13,36.05500015194506,4,Commercial
2018-06-28,NA,45.747253370504765,4,Commercial
2018-06-27,NA,34.70128824411689,NA,Commercial
2018-06-26,14,244.8036326383887,NA,Commercial
2018-06-25,18,81.31649418437924,4,Commercial
2018-06-24,16,NA,4,Commercial
2018-06-23,21,147.9634681876613,NA,Commercial
2018-06-22,14,1307.512695996266,4,Commercial
2018-06-21,15,NA,4,Commercial
2018-06-20,17,201.1200033664423,3,Commercial
2018-06-19,NA,25.92807859674698,NA,Commercial
2018-06-18,23,66.52790009720272,3,Commercial
2018-06-17,21,149.41586097026303,4,Commercial
2018-06-16,14,NA,4,Commercial
2018-06-15,21,NA,3,Commercial
2018-06-14,20,1581.524408648326,4,Commercial
2018-06-13,NA,86.17825137578912,6,Commercial
2018-06-12,15,48.289188977728486,5,Commercial
2018-06-11,16,9.971487383402847,4,Commercial
2018-06-10,15,NA,4,Commercial
2018-06-09,22,14.313919825788274,NA,Commercial
2018-06-08,28,81.73053858325598,7,Commercial
2018-06-07,NA,NA,8,Commercial
2018-06-06,17,52.32652973439431,7,Commercial
2018-06-05,NA,190.32005944348273,2,Commercial
2018-06-04,NA,376.9703953090307,NA,Commercial
2018-06-03,NA,NA,8,Commercial
2018-06-02,27,47.23238836903474,1,Commercial
2018-06-01,16,105.75995348661903,NA,Commercial
2018-05-31,21,97.99544685857579,NA,Commercial
2018-05-30,24,396.6718800343089,7,Commercial
2018-05-29,26,10.690267781748929,5,Commercial
2018-05-28,14,28.183019739385816,5,Commercial
2018-05-27,19,172.15527900168019,8,Commercial
2018-05-26,NA,214.63568272439028,3,Commercial
2018-05-25,NA,NA,NA,Commercial
2018-05-24,19,122.18718417935706,4,Commercial
2018-05-23,17,53.192296125425365,NA,Commercial
2018-05-22,18,54.809435014717,5,Commercial
2018-05-21,15,23.82156551952329,5,Commercial
2018-05-20,20,81.3603275972705,NA,Commercial
2018-05-19,19,NA,4,Commercial
2018-05-18,17,69.23591467744623,NA,Commercial
2018-05-17,18,193.86696121347532,NA,Commercial
2018-05-16,19,39.87978444274202,3,Commercial
2018-05-15,18,NA,3,Commercial
2018-05-14,15,43.1257410083777,4,Commercial
2018-05-13,NA,41.80148307133082,2,Commercial
2018-05-12,15,NA,0,Commercial
2018-05-11,18,56.652462843073934,3,Commercial
2018-05-10,16,56.61731904576778,3,Commercial
2018-05-09,NA,371.6058091679564,5,Commercial
2018-05-08,26,NA,6,Commercial
2018-05-07,21,164.7508894207533,NA,Commercial
2018-05-06,23,91.62902993293605,6,Commercial
2018-05-05,18,31.755170051374048,2,Commercial
2018-05-04,28,36.12334537765566,5,Commercial
2018-05-03,25,46.422122494776666,5,Commercial
2018-05-02,NA,251.84188566313455,NA,Commercial
2018-05-01,18,821.2170923406378,3,Commercial
2018-04-30,18,NA,2,Commercial
2018-04-29,28,24.22260007153239,NA,Commercial
2018-04-28,20,75.48689921846767,0,Commercial
2018-04-27,27,226.27760628649432,5,Commercial
2018-04-26,19,111.30389685793361,1,Commercial
2018-04-25,14,190.78733999739865,4,Commercial
2018-04-24,24,NA,NA,Commercial
2018-04-23,NA,52.89321984619642,4,Commercial
2018-04-22,15,NA,2,Commercial
2018-04-21,15,52.59719172550105,4,Commercial
2018-04-20,NA,304.19324483853865,3,Commercial
2018-04-19,24,86.22908938885871,4,Commercial
2018-04-18,16,61.32197320429008,4,Commercial
2018-04-17,16,51.8271863200651,4,Commercial
2018-04-16,14,161.48874391250192,1,Commercial
2018-04-15,25,NA,3,Commercial
2018-04-14,24,149.16145007682965,3,Commercial
2018-04-13,11,154.6753126606089,2,Commercial
2018-04-12,18,115.45874479629057,3,Commercial
2018-04-11,11,54.98894325530945,NA,Commercial
2018-04-10,24,45.08045436337981,4,Commercial
2018-04-09,NA,34.01747859908696,NA,Commercial
2018-04-08,28,553.7398651826526,4,Commercial
2018-04-07,16,174.287775363213,6,Commercial
