date,n_sales,total_dollar_amount,n_existing_customer,type
2018-07-18,NA,35.98417255349412,3,Residential
2018-07-17,19,78.85623744725997,1,Residential
2018-07-16,20,36.17520696349424,NA,Residential
2018-07-15,16,93.35994294485572,3,Residential
2018-07-14,NA,NA,NA,Residential
2018-07-13,21,265.6764162244265,6,Residential
2018-07-12,19,32.94753433761367,5,Residential
2018-07-11,25,105.10658105429175,4,Residential
2018-07-10,NA,NA,3,Residential
2018-07-09,NA,NA,2,Residential
2018-07-08,22,475.4527776796503,6,Residential
2018-07-07,NA,69.00148056289149,NA,Residential
2018-07-06,21,9.341157697834657,4,Residential
2018-07-05,26,85.65038678721277,5,Residential
2018-07-04,22,648.7755802604443,8,Residential
2018-07-03,24,NA,6,Residential
2018-07-02,23,45.185921232055925,6,Residential
2018-07-01,17,114.67395808154362,4,Residential
2018-06-30,24,31.209341066787456,6,Residential
2018-06-29,20,7.342014952500097,4,Residential
2018-06-28,28,321.1164665594787,NA,Residential
2018-06-27,27,7.9030988025652364,NA,Residential
2018-06-26,24,110.18847150601019,6,Residential
2018-06-25,19,28.289764837910813,NA,Residential
2018-06-24,16,NA,2,Residential
2018-06-23,22,NA,6,Residential
2018-06-22,23,30.399693256121,4,Residential
2018-06-21,NA,157.46956057211463,NA,Residential
2018-06-20,19,84.80708923560461,6,Residential
2018-06-19,20,72.71905233329406,NA,Residential
2018-06-18,NA,98.77052008207654,NA,Residential
2018-06-17,22,152.1579854480034,NA,Residential
2018-06-16,13,67.44714177347319,NA,Residential
2018-06-15,21,267.5947530720061,5,Residential
2018-06-14,21,240.55149874087172,4,Residential
2018-06-13,19,NA,5,Residential
2018-06-12,NA,39.79544539286239,1,Residential
2018-06-11,21,45.50937796508088,2,Residential
2018-06-10,NA,33.933376375895485,NA,Residential
2018-06-09,24,306.9931817869728,6,Residential
2018-06-08,23,26.9003992446345,3,Residential
2018-06-07,19,NA,4,Residential
2018-06-06,24,46.22125969008995,2,Residential
2018-06-05,18,12.4124740662309,NA,Residential
2018-06-04,18,176.79765206714535,4,Residential
2018-06-03,19,48.68638662213402,3,Residential
2018-06-02,28,163.51270758287885,5,Residential
2018-06-01,21,89.366308035094,6,Residential
2018-05-31,19,NA,0,Residential
2018-05-30,NA,130.85047344008422,3,Residential
2018-05-29,15,51.43958500902737,3,Residential
2018-05-28,16,672.0915751652128,3,Residential
2018-05-27,23,122.10322413617092,3,Residential
2018-05-26,NA,NA,3,Residential
2018-05-25,20,151.5364839565719,3,Residential
2018-05-24,NA,1668.123272900095,NA,Residential
2018-05-23,14,202.88244868845572,5,Residential
2018-05-22,14,NA,0,Residential
2018-05-21,21,18.41720388466766,NA,Residential
2018-05-20,17,172.21882401864585,4,Residential
2018-05-19,15,305.2026519676081,3,Residential
2018-05-18,NA,118.96781366257872,3,Residential
2018-05-17,16,151.6035956319842,3,Residential
2018-05-16,26,77.49188368683157,5,Residential
2018-05-15,25,NA,9,Residential
2018-05-14,22,118.57955047339091,6,Residential
2018-05-13,18,NA,5,Residential
2018-05-12,19,35.735734636591246,3,Residential
2018-05-11,NA,59.27733566987181,2,Residential
2018-05-10,21,176.7492103755577,5,Residential
2018-05-09,24,88.42481705123372,3,Residential
2018-05-08,11,NA,2,Residential
2018-05-07,NA,134.90622689928227,9,Residential
2018-05-06,NA,52.673695873675975,NA,Residential
2018-05-05,20,NA,NA,Residential
2018-05-04,16,NA,2,Residential
2018-05-03,18,328.1612933613303,2,Residential
2018-05-02,20,186.44190105206076,3,Residential
2018-05-01,NA,NA,5,Residential
2018-04-30,22,NA,1,Residential
2018-04-29,20,NA,5,Residential
2018-04-28,13,NA,2,Residential
2018-04-27,23,NA,6,Residential
2018-04-26,NA,70.89586214766749,7,Residential
2018-04-25,NA,44.46858047873054,6,Residential
2018-04-24,24,44.12302451666203,2,Residential
2018-04-23,13,NA,2,Residential
2018-04-22,22,46.0632716212486,9,Residential
